start_time,guitar,classical,slow,techno,strings,drums,electronic,rock,fast,piano,ambient,beat,violin,vocal,synth,female,indian,opera,male,singing,vocals,no vocals,harpsichord,loud,quiet,flute,woman,male vocal,no vocal,pop,soft,sitar,solo,man,classic,choir,voice,new age,dance,male voice,female vocal,beats,harp,cello,no voice,weird,country,metal,female voice,choral
1.5,0.37877968,0.89758706,0.62293756,0.016714057,0.4461275,0.7944657,0.027222555,0.096897684,0.0050780997,0.0799555,0.28927553,0.30833724,0.6522303,0.97744685,0.016994039,0.91745645,0.4897845,0.9995778,0.99102986,0.9741848,0.95303625,0.01548467,0.1973422,0.011314138,0.94050705,0.6504517,0.91727847,0.98556095,0.021859799,0.19334994,0.63122827,0.2460739,0.03771012,0.9933755,0.5219635,0.99651176,0.9666081,0.037105687,0.0062494003,0.98195523,0.8038497,0.07288364,0.18867387,0.8141241,0.01997504,0.067154944,0.09966212,0.22206101,0.8202699,0.9955368
4.5,0.0789728,0.8620185,0.6273868,0.022285977,0.26455393,0.6264861,0.05381714,0.025958946,0.012225833,0.2998549,0.40553507,0.2138095,0.20702168,0.06497942,0.048271764,0.034310177,0.061959628,0.58384454,0.18044601,0.057629466,0.059827417,0.04506393,0.053992614,0.0049785264,0.94645023,0.50831765,0.029267358,0.1416892,0.056419406,0.014628125,0.6410767,0.022031283,0.027037077,0.19327669,0.3427726,0.5128562,0.07574406,0.04863718,0.004041811,0.15144163,0.021255603,0.0513663,0.09470913,0.25880638,0.04252652,0.040163126,0.0056566945,0.017153218,0.016102066,0.44340533
7.5,0.5360995,0.858798,0.56212014,0.02723544,0.33917895,0.7308618,0.051010117,0.05842115,0.0132463155,0.45608783,0.26015633,0.27301428,0.18426013,0.20043045,0.038167007,0.07322139,0.14364633,0.75775504,0.37913063,0.16874558,0.15824057,0.03862886,0.070052154,0.0032058961,0.92040634,0.18424654,0.073805735,0.38022152,0.047746733,0.040822826,0.6403272,0.09261963,0.06420809,0.49911216,0.3170539,0.49370587,0.20450564,0.03923392,0.0050606704,0.33916026,0.045978922,0.058967292,0.25259513,0.23588642,0.034275137,0.04093132,0.043218832,0.040340297,0.035741776,0.45291528
10.5,0.047226846,0.89394933,0.37232733,0.40512323,0.4147488,0.803429,0.481608,0.009050353,0.072199084,0.3246055,0.48546034,0.6387466,0.22505349,0.0073296134,0.36958805,0.010992612,0.31998268,0.09974751,0.0037941243,0.004829749,0.007678232,0.13390025,0.11193065,0.00780117,0.6018551,0.29307368,0.008664387,0.0048401677,0.13695103,0.009967337,0.25562263,0.16613752,0.017128356,0.004620485,0.39579248,0.1039099,0.009596056,0.18641597,0.031192565,0.005601134,0.008073073,0.33262113,0.19259028,0.1386483,0.092168435,0.20710634,0.0020396584,0.0039488184,0.006019569,0.08028334
13.5,0.010748808,0.8971122,0.4282949,0.16071373,0.40521193,0.70262873,0.3044065,0.003463611,0.023718579,0.10776501,0.7084873,0.3953141,0.35094854,0.029541302,0.27088112,0.045169953,0.3074636,0.47510952,0.01336743,0.020579556,0.029569214,0.07695655,0.06996649,0.006473428,0.73916256,0.66257125,0.032586895,0.010486299,0.079190694,0.007643718,0.32125935,0.06607571,0.0047078114,0.012751393,0.39521816,0.6336047,0.02937448,0.22435912,0.010793534,0.012831309,0.025043752,0.14762083,0.08537126,0.14193228,0.060459413,0.22734913,0.0011218976,0.0019669018,0.019485725,0.5211384
16.5,0.008097126,0.99029595,0.3411864,0.31481186,0.65088344,0.5234664,0.33147514,0.0028265046,0.06397534,0.495158,0.339761,0.344986,0.76135844,0.009954608,0.25365195,0.009781215,0.07624943,0.374539,0.01236208,0.006944607,0.0102164,0.10301909,0.4202252,0.0060115396,0.529247,0.3476237,0.0062035522,0.010809808,0.10351417,0.004678415,0.23249854,0.026675586,0.020895956,0.010240025,0.8791041,0.38306862,0.011708228,0.093013585,0.03249746,0.012951421,0.0054803244,0.15646265,0.18695112,0.6832807,0.070518486,0.12488611,0.0013585349,0.0028586835,0.0047918456,0.34879044
19.5,0.18383923,0.9817963,0.53730804,0.002552131,0.7371813,0.5839318,0.0057463353,0.0051846686,0.009641162,0.2141472,0.10759162,0.09315433,0.78686154,0.17588185,0.0047456883,0.0692768,0.47302723,0.9366931,0.39088696,0.13973108,0.12881964,0.040549517,0.5506687,0.002220655,0.85909677,0.74374914,0.06511219,0.32075274,0.047444478,0.0069043776,0.4469154,0.3764317,0.099412434,0.41751435,0.8231584,0.832451,0.14254041,0.018199334,0.0015968856,0.26716188,0.029761538,0.0366866,0.33547276,0.87246436,0.041766316,0.023183962,0.033734784,0.0089415675,0.028085047,0.79416984
22.5,0.03895,0.9866332,0.42941368,0.034402635,0.7419216,0.36878532,0.061036505,0.0017189803,0.03647013,0.26058415,0.19620521,0.11268355,0.68556154,0.007231928,0.050636526,0.006618358,0.12872057,0.38670167,0.012709609,0.005801443,0.00646617,0.077412285,0.43752915,0.0019726248,0.79317594,0.7007595,0.0051426208,0.012175123,0.087669216,0.0019773713,0.36647254,0.072375745,0.03779856,0.012622453,0.828197,0.19448428,0.008857986,0.038713742,0.005358107,0.012884799,0.0037164306,0.041648164,0.30174348,0.60516304,0.06811751,0.037324008,0.0024521938,0.0021268404,0.0029263322,0.16972181
25.5,0.116230085,0.9812981,0.49838412,0.02863322,0.85753906,0.51789135,0.039485194,0.0030086737,0.024719251,0.22030695,0.20283417,0.20644055,0.8790884,0.085893296,0.030971436,0.12223206,0.5305461,0.82756567,0.0574262,0.060738664,0.061438374,0.06398808,0.6089532,0.0036804103,0.6831397,0.78331596,0.10622625,0.059336588,0.07256636,0.007865576,0.33402058,0.4214894,0.047489237,0.075270176,0.7920755,0.58516115,0.08311781,0.052270316,0.0053617167,0.05611022,0.06885968,0.08796692,0.45992202,0.86519,0.059352912,0.05791315,0.014568894,0.0044075847,0.05647659,0.52070785
28.5,0.03057248,0.9876272,0.36022863,0.09258773,0.6601959,0.27797547,0.115753375,0.0020307,0.03831309,0.6387163,0.14009652,0.12090346,0.5060473,0.011956771,0.087727584,0.0057264855,0.16960606,0.40328628,0.027419219,0.007944658,0.012336083,0.08542344,0.5810327,0.005662023,0.47697762,0.3382905,0.0036330805,0.023868755,0.086449966,0.003165997,0.19474056,0.15906972,0.049800877,0.025970176,0.84677833,0.27354738,0.0120537225,0.036080044,0.014066761,0.023235144,0.0028365487,0.056169648,0.32087407,0.49834374,0.059676893,0.07470508,0.003603399,0.002009268,0.0026237685,0.23638405
31.5,0.00773196,0.98936987,0.2911785,0.05094672,0.71561444,0.6781648,0.07671946,0.00092383346,0.03752688,0.24186997,0.15191998,0.25303087,0.7799197,0.035118386,0.06373334,0.02069869,0.6437919,0.73104936,0.048664946,0.02550524,0.033539828,0.06803138,0.44190517,0.0063197133,0.3775428,0.7458141,0.011812158,0.035617836,0.065387875,0.0051943804,0.14316645,0.35142225,0.014224358,0.03723023,0.8638693,0.7824002,0.02417361,0.05748116,0.011330546,0.03764605,0.008111685,0.1433977,0.1758618,0.60889226,0.050764404,0.093900256,0.0032864283,0.0011966228,0.0069447258,0.70026153
